metric,p50,p99,p999,min,max,count
slippage_arrival_bps,1,1,1,1,1,99
slippage_vwap_bps,1,1,1,1,1,99
time_to_fill_ns,4000000,4000000,4000000,4000000,4000000,99
ack_latency_ns,1000000,1000000,1000000,1000000,1000000,99
fill_rate_bps,10000,10000,10000,10000,10000,5

counter,value
filled_orders,99
cycles,5
completed_cycles,5
rebalance_completion_rate,1
rejections,4
ack_timeouts,0
unsolicited_cancels,0
out_of_sequence_dropped,10
false_cancel_rejects,0
venue_demotions,0
venue_recoveries,0
netting_saved_notional,2500000
